CALL~<FOO> BL~<FOO>
CALL~QWORD~PTR~[RAX+0] BLX~R3
RET BX~R14
JMP~<FOO> B~<FOO>
JZ~<FOO> BEQ~<FOO>
JNZ~<FOO> BNE~<FOO>
JA~<FOO> BHI~<FOO>
JBE~<FOO> BLS~<FOO>
JG~<FOO> BGT~<FOO>
JLE~<FOO> BLE~<FOO>
JS~<FOO> BMI~<FOO>
SUB~RSP,0 SUB~R13,R13,0
ADD~RSP,0 ADD~R13,R13,0
MOV~EAX,0 MOV~R0,0
MOV~ESI,0 MOV~R1,0
MOV~EDX,0 MOV~R2,0
MOV~ECX,0 MOV~R3,0
MOV~RDI,RAX CPY~R0,R0
MOV~RSI,RAX CPY~R1,R0
MOV~RDX,RAX CPY~R2,R0
MOV~RCX,RAX CPY~R3,R0
MOV~RAX,RDX CPY~R0,R2
MOV~RAX,QWORD~PTR~[RBP+-0] LDR~R3,[R11,-0]
MOV~RAX,QWORD~PTR~[RAX+0] LDR~R3,[R3,0]
MOV~EAX,DWORD~PTR~[RBP+-0] LDR~R3,[R11,-0]
MOV~EAX,DWORD~PTR~[RAX+0] LDR~R3,[R3,0]
MOV~RDX,QWORD~PTR~[RBP+-0] LDR~R2,[R11,-0]
MOV~RCX,QWORD~PTR~[RBP+-0] LDR~R1,[R11,-0]
MOV~RAX,QWORD~PTR~[RSP+0] LDR~R3,[R13,0]
MOV~EAX,DWORD~PTR~[RSP+0] LDR~R3,[R13,0]
MOV~QWORD~PTR~[RBP+-0],RAX STR~R3,[R11,-0]
MOV~QWORD~PTR~[RSP+0],RAX STR~R3,[R13,0]
MOV~DWORD~PTR~[RBP+-0],EAX STR~R3,[R11,-0]
MOV~DWORD~PTR~[RSP+0],0 STR~R3,[R13,0]
MOV~QWORD~PTR~[RBP+-0],0 STR~R3,[R11,-0]
PUSH~RBP STMDB~R13!~R11
POP~RBP LDMIA~R13!~R11
PUSH~RBX STMDB~R13!~R4
POP~RBX LDMIA~R13!~R4
PUSH~R12 STMDB~R13!~R5
POP~R12 LDMIA~R13!~R5
PUSH~R13 STMDB~R13!~R6
POP~R13 LDMIA~R13!~R6
PUSH~R14 STMDB~R13!~R7
POP~R14 LDMIA~R13!~R7
PUSH~R15 STMDB~R13!~R8
POP~R15 LDMIA~R13!~R8
MOV~RBP,RSP ADD~R11,R13,0
ADD~RAX,RDX ADD~R3,R2,R3
ADD~RAX,0 ADD~R3,R3,0
CMP~EAX,0 CMP~R3,0
CMP~RAX,0 CMP~R3,0
CMP~AL,0 CMP~R0,0
MOVZX~EAX,BYTE~PTR~[RAX] LDRB~R3,[R3,0]
MOVZX~EAX,BYTE~PTR~[RAX+0] LDRB~R3,[R3,0]
